标题,链接,封面图,发布时间,内容类型,简介,来源,内容ID,视频时长
[国际足球]巴西战胜巴拉圭提前晋级世界杯,https://tv.cctv.com/2025/06/11/VIDETsYEctxahO3r64c617zd250611.shtml,https://p3.img.cctvpic.com/photoworkspace/2025/06/11/2025061118484616225.jpg,,视频,北京时间6月11日，世界杯南美区预选赛继续进行，巴西男足以1比0力克巴拉圭，提前两轮锁定2026年美加墨世界杯参赛席位。,央视网,VIDETsYEctxahO3r64c617zd250611,
[国际足球]乌兹别克斯坦、韩国、约旦晋级世界杯决赛圈,https://tv.cctv.com/2025/06/06/VIDEz5xh0bUtwkppJS0UYSb2250606.shtml,https://p2.img.cctvpic.com/photoworkspace/2025/06/06/2025060607493190611.jpg,,视频,北京时间6月6日，世预赛第9轮落幕，乌兹别克斯坦、韩国、约旦晋级世界杯决赛圈。,央视网,VIDEz5xh0bUtwkppJS0UYSb2250606,
[国际足球]梅西回归阿根廷国家队备战世界杯预选赛,https://tv.cctv.com/2025/06/03/VIDED3yVpN8xMtgXj7qN4Vre250603.shtml,https://p1.img.cctvpic.com/photoworkspace/2025/06/03/2025060322243969774.jpg,,视频,北京时间6月2日，梅西回归阿根廷国家队备战世界杯预选赛。,央视网,VIDED3yVpN8xMtgXj7qN4Vre250603,
[国际足球]赛前收获世界杯门票 阿根廷主场大胜巴西,https://tv.cctv.com/2025/03/26/VIDEmfJtMIqbPHaaibQdbt0r250326.shtml,https://p1.img.cctvpic.com/photoworkspace/2025/03/26/2025032618265762256.jpg,,视频,北京时间3月26日，世预赛南美区第14轮，阿根廷4-1击败巴西，在提前晋级的情况下再收获一场胜利。,央视网,VIDEmfJtMIqbPHaaibQdbt0r250326,
[国际足球]新西兰男足第三次进入世界杯,https://tv.cctv.com/2025/03/24/VIDEENhsXKVd0UZl7LRqvDPy250324.shtml,https://p2.img.cctvpic.com/photoworkspace/2025/03/24/2025032422232030206.jpg,,视频,北京时间3月24日，世界杯大洋洲区预选赛决赛，新西兰3-0战胜新喀里多尼亚，成功晋级2026年美加墨世界杯。,央视网,VIDEENhsXKVd0UZl7LRqvDPy250324,
[国际足球]日本主场取胜 锁定世界杯正赛资格,https://tv.cctv.com/2025/03/21/VIDEE7ek8EuarzCYPGvS9G6R250321.shtml,https://p3.img.cctvpic.com/photoworkspace/2025/03/21/2025032107520529239.jpg,,视频,北京时间3月20日，世界杯预选赛亚洲区18强赛继续进行，日本主场2-0战胜巴林，锁定世界杯正赛资格。,央视网,VIDEE7ek8EuarzCYPGvS9G6R250321,
[天下足球]历史首次 2026年世界杯决赛增设中场秀,https://tv.cctv.com/2025/03/10/VIDESVZDJn0tVd2Bcjxz1rwb250310.shtml,https://p1.img.cctvpic.com/photoworkspace/2025/03/10/2025031020071560135.jpg,,视频,近日，因凡蒂诺在其个人社交账号上发文称，2026年世界杯决赛将首次迎来中场表演。,央视网,VIDESVZDJn0tVd2Bcjxz1rwb250310,
[国际足球]法国主帅德尚将在2026年世界杯后卸任,https://tv.cctv.com/2025/01/09/VIDEfgZjTL2WEjiwFNQYJKnH250109.shtml,https://p5.img.cctvpic.com/photoworkspace/2025/01/09/2025010909073881785.jpg,,视频,北京时间1月8日，法国男足主帅德尚在接受采访时表示，自己将在2026年世界杯结束后离任。,央视网,VIDEfgZjTL2WEjiwFNQYJKnH250109,
[国际足球]2026美加墨世界杯赛程公布,https://tv.cctv.com/2024/02/05/VIDEfzhhWh0teocPvbaXPo3e240205.shtml,https://p4.img.cctvpic.com/photoworkspace/2024/02/05/2024020519311569565.jpg,,视频,北京时间2月5日，国际足联公布了2026年美加墨世界杯的赛程安排，揭幕战在墨西哥首都墨西哥城，决赛地在美国的新泽西州。,央视网,VIDEfzhhWh0teocPvbaXPo3e240205,
[天下足球]2022年世界杯纪录片：英雄史诗（下）,https://tv.cctv.com/2023/07/17/VIDEQmrH3NDS53fMbksUuLgj230717.shtml,https://p5.img.cctvpic.com/photoworkspace/2023/07/18/2023071807225784723.jpg,,视频,八强落定，蓄势待发，卢塞尔在静静等待那个新时代的宠儿。人潮汹涌，烟花盛放，传奇金杯就在前方。,央视网,VIDEQmrH3NDS53fMbksUuLgj230717,
[天下足球]2022年世界杯纪录片：英雄史诗（上）,https://tv.cctv.com/2023/07/10/VIDEy80hwkNyWgeTcZIBwA0Y230710.shtml,https://p3.img.cctvpic.com/photoworkspace/2023/07/10/2023071021191451263.jpg,,视频,本期节目为您带来《天下足球》出品的2022年世界杯纪录片《英雄史诗》的第一部分，看32强会战卡塔尔，竞逐大力神杯。,央视网,VIDEy80hwkNyWgeTcZIBwA0Y230710,
[天下足球]风格简约 2026年世界杯会徽揭晓,https://tv.cctv.com/2023/05/22/VIDEI4Ml8OEOM8JlEbGGzusb230522.shtml,https://p2.img.cctvpic.com/photoworkspace/2023/05/23/2023052308120932195.jpg,,视频,北京时间5月18日，国际足联官方公布了2026年世界杯会徽图案，该会徽由白色的数字“26”图案和大力神杯组合而成。,央视网,VIDEI4Ml8OEOM8JlEbGGzusb230522,
[国际足球]国际足联确定2026年世界杯赛制,https://tv.cctv.com/2023/03/15/VIDEfl8npJuyYrGpkQQvLoeW230315.shtml,https://p3.img.cctvpic.com/photoworkspace/2023/03/15/2023031522412485039.jpg,,视频,北京时间3月14日，国际足联确定了2026年世界杯赛制。,央视网,VIDEfl8npJuyYrGpkQQvLoeW230315,
[天下足球]卡塔尔世界杯 阿根廷王者之路回顾,https://tv.cctv.com/2023/01/23/VIDE5NT4gSfXZFjmNAfV3VT5230123.shtml,https://p3.img.cctvpic.com/photoworkspace/2023/01/24/2023012407492810975.jpg,,视频,2022年卡塔尔世界杯，阿根廷队在梅西的带领下一路过关斩将，最终在决赛中击败法国队，获得冠军。,央视网,VIDE5NT4gSfXZFjmNAfV3VT5230123,
